date,a,b,c,d,e,mb
5-17-02,15,18,25,33,47,30
5-21-02,4,28,39,41,44,9
5-24-02,2,4,32,44,52,36
5-28-02,6,21,22,29,32,24
5-31-02,12,28,45,46,52,47
6-4-02,3,25,29,30,48,48
6-7-02,14,22,27,28,42,13
6-11-02,5,6,9,33,44,52
6-14-02,4,8,32,37,43,2
6-18-02,6,13,18,27,45,18
6-21-02,13,18,32,39,49,6
6-25-02,4,18,21,27,41,50
6-28-02,18,31,49,50,51,4
7-2-02,14,22,32,35,44,6
7-5-02,11,20,26,29,41,41
7-9-02,26,29,31,44,48,40
7-12-02,13,19,23,38,47,15
7-16-02,10,24,35,49,52,47
7-19-02,7,15,24,37,46,9
7-23-02,10,12,29,32,38,7
7-26-02,20,27,28,37,49,32
7-30-02,2,6,22,27,44,1
8-2-02,10,16,23,28,31,7
8-6-02,2,6,38,40,50,14
8-9-02,7,17,23,43,44,26
8-13-02,3,10,15,18,25,52
8-16-02,22,31,33,44,52,43
8-20-02,2,13,20,23,43,6
8-23-02,5,19,20,45,48,44
8-27-02,2,5,11,18,45,22
8-30-02,6,31,32,42,51,42
9-3-02,8,23,36,49,51,10
9-6-02,31,39,42,49,51,35
9-10-02,4,6,10,21,25,21
9-13-02,24,32,37,40,51,12
9-17-02,7,10,19,26,44,5
9-20-02,1,2,4,5,46,8
9-24-02,8,32,34,42,50,21
9-27-02,23,27,30,33,36,5
10-1-02,7,21,30,32,37,15
10-4-02,10,42,43,45,51,1
10-8-02,18,34,43,47,50,25
10-11-02,9,11,17,26,41,29
10-15-02,6,20,27,34,51,22
10-18-02,10,31,40,48,51,38
10-22-02,16,20,26,36,48,32
10-25-02,8,15,34,39,47,4
10-29-02,9,10,14,41,49,35
11-1-02,5,10,22,23,43,37
11-5-02,2,7,16,28,36,47
11-8-02,17,19,37,47,48,14
11-12-02,3,28,45,48,50,24
11-15-02,6,17,44,49,51,39
11-19-02,7,16,20,40,52,8
11-22-02,11,16,19,22,46,5
11-26-02,3,21,27,31,43,34
11-29-02,8,25,33,42,49,40
12-3-02,1,15,19,40,51,26
12-6-02,4,8,30,36,52,48
12-10-02,3,5,9,16,31,28
12-13-02,2,13,14,24,46,34
12-17-02,3,7,21,29,49,46
12-20-02,10,14,41,46,49,52
